SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftColors	rightColors	TOA	Mask	SOA	Blocked
1	29-May-16	28	blue	s	0	0.6515	D	C	r	b	900	1	6	1
1	29-May-16	29	blue	s	1	0.7634	B	D	b	r	900	1	6	1
1	29-May-16	30	blue	a	1	0.3386	A	D	b	r	900	1	6	1
1	29-May-16	31	blue	s	1	0.5295	C	B	r	b	900	1	6	1
1	29-May-16	32	blue	l	1	0.5763	D	C	b	r	900	1	6	1
1	29-May-16	1	Red	s	1	0.5439	B	C	r	b	900	1	6	1
1	29-May-16	2	Red	l	1	0.541	C	D	b	r	900	1	6	1
1	29-May-16	3	Red	a	1	0.532	C	A	b	r	900	1	6	1
1	29-May-16	4	Red	l	1	0.5626	D	A	r	b	900	1	6	1
1	29-May-16	5	Red	a	1	0.5155	A	B	r	b	900	1	6	1
1	29-May-16	6	Red	k	1	0.7287	C	B	r	b	900	1	6	1
1	29-May-16	7	Red	a	1	0.761	B	A	b	r	900	1	6	1
1	29-May-16	8	Red	k	1	0.6331	C	D	r	b	900	1	6	1
1	29-May-16	9	Red	a	1	0.4558	D	A	b	r	900	1	6	1
1	29-May-16	10	Red	l	1	0.6211	D	B	r	b	900	1	6	1
1	29-May-16	11	Red	s	1	0.6526	B	C	r	b	900	1	6	1
1	29-May-16	12	Red	a	1	0.4123	A	D	r	b	900	1	6	1
1	29-May-16	13	Red	l	1	0.5783	D	A	r	b	900	1	6	1
1	29-May-16	14	Red	k	1	0.4182	C	B	r	b	900	1	6	1
1	29-May-16	15	Red	s	1	0.5455	B	C	r	b	900	1	6	1
1	29-May-16	16	Red	a	1	0.5046	C	A	b	r	900	1	6	1
1	29-May-16	17	Red	a	1	0.4954	C	A	b	r	900	1	6	1
1	29-May-16	18	Red	k	0	0.4382	A	B	b	r	900	1	6	1
1	29-May-16	19	Red	k	1	0.7337	C	A	r	b	900	1	6	1
1	29-May-16	20	Red	k	1	0.588	A	C	b	r	900	1	6	1
1	29-May-16	21	Red	k	1	0.724	A	C	b	r	900	1	6	1
1	29-May-16	22	Red	s	1	0.5211	B	C	r	b	900	1	6	1
1	29-May-16	23	Red	l	1	0.7295	B	D	b	r	900	1	6	1
1	29-May-16	24	Red	l	1	0.5062	C	D	b	r	900	1	6	1
1	29-May-16	25	Red	k	1	0.6158	A	C	b	r	900	1	6	1
1	29-May-16	26	Red	k	0	0.423	C	B	b	r	900	1	6	1
1	29-May-16	27	Red	a	1	0.5743	A	C	r	b	900	1	6	1
1	29-May-16	28	Red	s	1	0.5979	D	B	b	r	900	1	6	1
1	29-May-16	29	Red	k	0	0.5162	C	D	b	r	900	1	6	1
1	29-May-16	30	Red	l	1	0.5154	D	A	r	b	900	1	6	1
1	29-May-16	31	Red	k	1	0.4318	D	C	b	r	900	1	6	1
1	29-May-16	32	Red	s	1	0.4802	B	A	r	b	900	1	6	1
1	29-May-16	1	blue	l	1	0.6132	D	A	b	r	900	1	6	1
1	29-May-16	2	blue	k	1	0.4425	B	C	r	b	900	1	6	1
1	29-May-16	3	blue	s	1	0.4911	A	B	r	b	900	1	6	1
1	29-May-16	4	blue	a	1	0.4898	B	A	r	b	900	1	6	1
1	29-May-16	5	blue	k	1	0.5686	C	A	b	r	900	1	6	1
1	29-May-16	6	blue	k	0	0.5913	B	D	b	r	900	1	6	1
1	29-May-16	7	blue	k	0	0.6061	C	B	r	b	900	1	6	1
1	29-May-16	8	blue	l	1	0.4939	B	D	r	b	900	1	6	1
1	29-May-16	9	blue	l	1	0.5966	B	D	r	b	900	1	6	1
1	29-May-16	10	blue	k	1	0.6769	C	A	b	r	900	1	6	1
1	29-May-16	11	blue	l	1	0.6435	D	C	b	r	900	1	6	1
1	29-May-16	12	blue	s	1	0.6596	B	C	b	r	900	1	6	1
1	29-May-16	13	blue	a	1	0.4247	A	C	b	r	900	1	6	1
1	29-May-16	14	blue	s	0	0.6571	D	A	r	b	900	1	6	1
1	29-May-16	15	blue	NaN	NaN	0	B	C	b	r	900	1	6	1
1	29-May-16	16	blue	a	1	0.4333	A	D	b	r	900	1	6	1
1	29-May-16	17	blue	k	1	0.6386	C	B	b	r	900	1	6	1
1	29-May-16	18	blue	s	1	0.5571	A	B	r	b	900	1	6	1
1	29-May-16	19	blue	a	1	0.3808	A	B	b	r	900	1	6	1
1	29-May-16	20	blue	a	1	0.6199	C	A	r	b	900	1	6	1
1	29-May-16	21	blue	l	1	0.6835	C	D	r	b	900	1	6	1
1	29-May-16	22	blue	k	1	0.5963	C	B	b	r	900	1	6	1
1	29-May-16	23	blue	k	1	0.5216	C	A	b	r	900	1	6	1
1	29-May-16	24	blue	s	1	0.5211	B	C	b	r	900	1	6	1
1	29-May-16	25	blue	k	1	0.6339	A	C	r	b	900	1	6	1
1	29-May-16	26	blue	l	1	0.6956	D	A	b	r	900	1	6	1
1	29-May-16	27	blue	a	1	0.4069	A	C	b	r	900	1	6	1
1	29-May-16	28	blue	l	1	0.5577	B	D	r	b	900	1	6	1
1	29-May-16	29	blue	a	1	0.4848	C	A	r	b	900	1	6	1
1	29-May-16	30	blue	l	1	0.6766	D	B	b	r	900	1	6	1
1	29-May-16	31	blue	k	1	0.5241	B	C	r	b	900	1	6	1
1	29-May-16	32	blue	s	1	0.6013	B	A	b	r	900	1	6	1
1	29-May-16	1	Red	l	1	0.5335	D	C	r	b	900	1	6	1
1	29-May-16	2	Red	l	1	0.3874	C	D	b	r	900	1	6	1
1	29-May-16	3	Red	l	1	0.4335	B	D	b	r	900	1	6	1
1	29-May-16	4	Red	s	1	0.6909	B	A	r	b	900	1	6	1
1	29-May-16	5	Red	k	1	0.5842	C	D	r	b	900	1	6	1
1	29-May-16	6	Red	a	1	0.6499	D	A	b	r	900	1	6	1
1	29-May-16	7	Red	s	1	0.5038	B	A	r	b	900	1	6	1
1	29-May-16	8	Red	s	1	0.5176	B	D	r	b	900	1	6	1
1	29-May-16	9	Red	l	1	0.6469	D	C	r	b	900	1	6	1
1	29-May-16	10	Red	a	1	0.5019	B	A	b	r	900	1	6	1
1	29-May-16	11	Red	a	1	0.4449	C	A	b	r	900	1	6	1
1	29-May-16	12	Red	a	1	0.5001	C	A	b	r	900	1	6	1
1	29-May-16	13	Red	s	1	0.4353	C	B	b	r	900	1	6	1
1	29-May-16	14	Red	l	0	0.6965	B	A	r	b	900	1	6	1
1	29-May-16	15	Red	k	1	0.8637	C	D	r	b	900	1	6	1
1	29-May-16	16	Red	a	1	0.5192	C	A	b	r	900	1	6	1
1	29-May-16	17	Red	k	1	0.6072	C	D	r	b	900	1	6	1
1	29-May-16	18	Red	k	1	0.5577	C	A	r	b	900	1	6	1
1	29-May-16	19	Red	a	1	0.5587	A	B	r	b	900	1	6	1
1	29-May-16	20	Red	a	0	0.7655	D	B	r	b	900	1	6	1
